Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
Snyder_N2_POLII_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-13	2009-11-28	released	2439	GSE25792, GSM677639, GSM677640, GSM677641, GSM677642	Snyder_N2_POLII_L3_combined_peaks.GFF3
Snyder_N2_POLII_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-10-13	2009-11-28	released	2440	GSE25793, GSM677643, GSM677644, GSM677645, GSM677646	Snyder_N2_POLII_L4_combined_peaks.GFF3
Snyder_N2_POLII_YA	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-10-13	2009-11-28	released	2441	GSE25794, GSM677647, GSM677648, GSM677649, GSM677650	Snyder_N2_POLII_YA_combined_peaks.GFF3
Histone_H3K79me2_N2_EEMB_(AB3594_H3K79ME2346021_N2_EEMB)	Lieb	Lieb	ChIP-chip	chromatin modification		Target=H3K79Me2;AbName=H3K79Me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-13	2009-11-27	released	2442	GSE22738, GSM562751, GSM562752	
Histone_H3K79me3_N2_EEMB_(AB2621_H3K79ME3361576_N2_EEMB)	Lieb	Lieb	ChIP-chip	chromatin modification		Target=H3K79Me3;AbName=H3K79Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-14	2009-11-27	released	2443	GSE22739, GSM562753, GSM562754	
Histone_H3K9me2_N2_EEMB_(HK00008_H3K9ME26D11_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me2;AbName=H3K9Me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-14	2009-11-27	released	2444	GSE22740, GSM562755, GSM562756	
Histone_H3K4me2_N2_EEMB_(WA30834809_H3K4ME2_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K4Me2;AbName=H3K4Me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-15	2009-11-27	replaced	2445 deprecated by 3198	GSE22741, GSM562757, GSM562758	
HCP-3_CENP-A_N2_MXEMB_(OD00079_HCP3_N2_MXEMB)	Lieb	Desai	ChIP-chip	chromatin		Target=hcp-3;AbName=OD00079_HCP3;Array=40bp86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-10-15	2010-02-17	released	2446	GSE22742, GSM562759, GSM562760, GSM562761, GSM562762, GSM562763, GSM562764, GSM562765, GSM562766, GSM562767, GSM562768	
Snyder_PES1_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=pes-1;AbName=eGFP	3		Caenorhabditis elegans		OP87	whole organism	larva: L4 larva	2009-10-15	2009-11-28	replaced	2450 deprecated by 3157		Snyder_PES1_GFP_L4_combined_peaks.GFF3
Snyder_GEI11_GFP_L4	Snyder	Snyder	ChIP-seq	chromatin		Target=gei-11;AbName=eGFP	3		Caenorhabditis elegans		OP179	whole organism	larva: L4 larva	2009-10-15	2009-11-28	released	2451	GSE25795, GSM677651, GSM677652, GSM677653, GSM677654	Snyder_GEI11_GFP_L4_combined_peaks.GFF3
Snyder_PHA4_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	larva: L2 larva	2009-10-15	2009-11-28	replaced	2452 deprecated by 3158		Snyder_PHA4_GFP_L2_combined_peaks.GFF3
Snyder_EGL5_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=egl-5;AbName=eGFP	3		Caenorhabditis elegans		OP54	whole organism	larva: L3 larva	2009-10-15	2009-11-28	replaced	2453 deprecated by 3159		Snyder_EGL5_GFP_L3_combined_peaks.GFF3
L3-L4 hypodermal cells tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=dpy-7;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1790	hypodermis	larva: L3-L4 molt	2009-10-15	2009-11-19	released	2454	GSE23287, GSM571540, GSM571541, GSM571542	L3-L4-hypodermis_tars_maxgap30_minrun100_thresh9.87.gff3
3' UTR Staged 454 Sequencing - L1 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-10-18	2009-11-04	released	2455	GSM446652	
3' UTR Staged 454 Sequencing - L2 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-10-18	2009-11-04	released	2456	GSM446653	
3' UTR Staged 454 Sequencing - L3 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-18	2009-11-04	released	2457	GSM446654	
3' UTR Staged 454 Sequencing - L4 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-10-18	2009-11-04	released	2458	GSM446655	
3' UTR Staged 454 Sequencing - male adult - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		CB1489	whole organism	adult: adult male	2009-10-18	2009-11-04	released	2459	GSM446657	
3' UTR Staged 454 Sequencing - hermaphrodite adult - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	adult: adult	2009-10-18	2009-11-04	released	2460	GSM446656	
3' UTR Staged 454 Sequencing - daf-2 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		CB1370	whole organism	larva: dauer larva	2009-10-18	2009-11-04	released	2461	GSM446658	
3' UTR Staged 454 Sequencing - daf-7 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		CB1372	whole organism	larva: dauer larva	2009-10-18	2009-11-04	released	2462	GSM446659	
3' UTR Staged 454 Sequencing - daf-9 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		DR2281	whole organism	larva: dauer larva	2009-10-18	2009-11-04	released	2463	GSM446660	
3' UTR Staged 454 Sequencing - daf-11 - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		DR47	whole organism	larva: dauer larva	2009-10-18	2009-11-04	released	2464	GSM446661	
3' UTR Staged 454 Sequencing - embryo - sequences	Piano	Piano	RACE	raw sequences			1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2009-10-19	2009-11-06	released	2465	GSM446651	
RNAseq - mid-L2 25dC 14hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-22	2009-11-20	replaced	2466 superseded by 2846	SRX001872	mid-L2_25dC_14hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_introns_all.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_polya.gff3, mid-L2_25dC_14hrs_post-L1.confirmed_splice_leaders.gff3, mid-L2_25dC_14hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - mid-L3 20dC 25hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-22	2009-11-20	replaced	2467 superseded by 2847	SRX001875	mid-L3_20dC_25hrs_post-L1.confirmed_introns_all.gff3, mid-L3_20dC_25hrs_post-L1.confirmed_splice_leaders.gff3, mid-L3_20dC_25hrs_post-L1.confirmed_polya.gff3, mid-L3_20dC_25hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L3_20dC_25hrs_post-L1.wormbase_transcripts.ws170.gff3
RNAseq - mid-L4 20dC 36hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-22	2009-11-20	replaced	2468 superseded by 2848	SRX001874	mid-L4_20dC_36hrs_post-L1.confirmed_introns_all.gff3, mid-L4_20dC_36hrs_post-L1.confirmed_splice_leaders.gff3, mid-L4_20dC_36hrs_post-L1.confirmed_polya.gff3, mid-L4_20dC_36hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L4_20dC_36hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - mid-L1 20dC 4hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-25	2009-11-20	replaced	2469 superseded by 2845	SRX004867	mid-L1_20dC_4hrs_post-L1.confirmed_splice_leaders.gff3, mid-L1_20dC_4hrs_post-L1.wormbase_transcripts.ws170.gff3, mid-L1_20dC_4hrs_post-L1.confirmed_polya.gff3, mid-L1_20dC_4hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L1_20dC_4hrs_post-L1.confirmed_introns_all.gff3
RNAseq - Young Adult 25dC 46hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-25	2009-11-20	replaced	2470 superseded by 2836	SRX001873	Young_Adult_25dC_46hrs_post-L1.confirmed_splice_leaders.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.RNASEQ.ws170.gff3, Young_Adult_25dC_46hrs_post-L1.confirmed_introns_all.gff3, Young_Adult_25dC_46hrs_post-L1.confirmed_polya.gff3, Young_Adult_25dC_46hrs_post-L1.wormbase_transcripts.ws170.gff3
RNAseq - male mid-L4 dpy28(y1);him-8(e1489) 25dC 30hrs post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-25	2009-11-20	replaced	2471 superseded by 2844	SRX004868	male_mid-L4_25dC_30hrs_post-L1.wormbase_transcripts.ws170.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_splice_leaders.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_introns_all.gff3, male_mid-L4_25dC_30hrs_post-L1.confirmed_polya.gff3, male_mid-L4_25dC_30hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - Adult spe-9 23dC 8days post-L4 molt genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-27	2009-11-20	replaced	2472 superseded by 2835	SRX008136	Adult_spe-9_23dC_8days_post-L4_molt.confirmed_polya.gff3, Adult_spe-9_23dC_8days_post-L4_molt.confirmed_splice_leaders.gff3, Adult_spe-9_23dC_8days_post-L4_molt.genelets.RNASEQ.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.wormbase_transcripts.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.confirmed_introns_all.gff3
RNAseq - early embryo genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-27	2009-11-11	replaced	2473 superseded by 2840	SRX004863	early_embryo.wormbase_transcripts.ws170.gff3, early_embryo.confirmed_splice_leaders.gff3, early_embryo.genelets.RNASEQ.ws170.gff3, early_embryo.confirmed_introns_all.gff3, early_embryo.confirmed_polya.gff3
RNAseq - embryo him-8 20dC post-L1 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-27	2009-11-20	replaced	2474 superseded by 2841	SRX011569	embryo_him-8_20dC_post-L1.confirmed_introns_all.gff3, embryo_him-8_20dC_post-L1.genelets.RNASEQ.ws170.gff3, embryo_him-8_20dC_post-L1.wormbase_transcripts.ws170.gff3, embryo_him-8_20dC_post-L1.confirmed_polya.gff3, embryo_him-8_20dC_post-L1.confirmed_splice_leaders.gff3
RNAseq - late embryo 20dC 4.5hrs post-early embryo genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2009-10-27	2009-11-20	replaced	2475 superseded by 2842	SRX004865	late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_polya.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.genelets.RNASEQ.ws170.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_splice_leaders.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_introns_all.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.wormbase_transcripts.ws170.gff3
3' UTRome 454 sequencing & alignment	Piano	Piano	RNA-seq	RNA profiling			2		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva	2009-10-16	2009-11-19	released	2482	GSM469976	
smallRNA from mixed-stage embryos (GSM427346)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: embryo	2009-10-14	2009-11-17	released	2483	GSM427346	
3' UTRome Solexa sequencing & alignment	Piano	Piano	Alignment	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva	2009-10-06	2009-11-19	released	2484	GSM469439	
smallRNAs from two-to-four cell C. elegans embryos (GSM427297)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: 2-cell embryo, 4-cell embryo	2009-10-16	2009-11-17	released	2485	GSM427297	
smallRNAs from one cell stage C. elegans embryos (GSM427301)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: 1-cell embryo	2009-10-16	2009-11-17	released	2486	GSM427301	
smallRNAs from post-gastrulation C. elegans embryos (GSM427332)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	2009-10-16	2009-11-17	released	2487	GSM427332	
smallRNAs from older, fixed C. elegans embryos (GSM427344)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: 12-cell embryo, 28-cell embryo, elongating embryo, enclosing embryo, fully-elongated embryo, gastrulating embryo, late cleavage stage embryo	2009-10-16	2009-11-17	released	2488	GSM427344	
small RNAs from living one cell C. elegans embryos (GSM427345)	Piano	Rajewsky	RNA-seq	raw sequences		RNAsize=<200bp	1		Caenorhabditis elegans		TX189	whole organism	embryo: 1-cell embryo	2009-10-16	2009-11-17	released	2489	GSM427345	
embryo_BAG_neurons_tiling_array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		MT17370	BAG	embryo: embryo	2009-11-04	2010-02-13	released	2499	GSE23769, GSM586712, GSM586713, GSM586714	emb-BAG_tars_maxgap30_minrun100_thresh9.36.gff3
embryo_PVC_neurons_tiling_array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC2015	PVC	embryo: embryo	2009-11-05	2010-02-15	released	2500	GSE25349, GSM624415, GSM624416, GSM624417	emb-PVC_tars_maxgap30_minrun100_thresh9.60.gff3
3' UTRome sample pools	Piano	Piano	Sample creation	(metadata only)			SAMPLE CREATION		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva	2009-11-09	2009-11-19	released	2501		
80_mM_Embryonic_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=80mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2531	GSM468561	
600_mM_Embryonic_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=600mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2532	GSM468562	
600_mM_Embryonic_Salt_Extracted_Chromatin_Pellet	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=600mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2533	GSM468571	
H3.3_80_mM_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=80mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2534	GSM468564	
H3.3_350_mM_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=350mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2535	GSM468560	
H3.3_600_mM_Salt_Extracted_Chromatin	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=600mM ;Array=54bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2536	GSM468563	
Embryonic_Mononucleosomes	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=80mM ;Array=54bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		JJ2061	whole organism	embryo: proliferating embryo	2009-11-27	2009-11-30	released	2537	GSM468574	
Adult_Mononucleosomes	Henikoff	Henikoff	ChIP-chip	chromatin		SaltConcentration=80mM ;Array=54bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		JJ2061	whole organism	larva: newly molted young adult hermaphrodite	2009-11-27	2009-11-30	released	2538	GSM468565	
Ahringer_L3_Worm_Samples_1	Lieb	Ahringer	Sample creation	(metadata only)			SAMPLE CREATION		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-11-29	2010-02-17	released	2539		
Ahringer_L3_Worm_Samples_2	Lieb	Ahringer	Sample creation	(metadata only)			SAMPLE CREATION		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-11-30	2010-02-17	released	2540		
HCP-3_CENP-A_N2_EEMB_(OD00079_HCP3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Target=hcp-3;AbName=OD00001_HCP3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-12-09	2010-02-17	released	2541	GSE22743, GSM562769, GSM562770, GSM562771	
DAF-16_fastq_DCC_test	Snyder	Snyder	ChIP-seq	chromatin		Target=daf-16;AbName=eGFP	4		Caenorhabditis elegans		TJ356	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2009-12-09		uploaded	2542	GSM389648	Snyder_DAF16_GFP_L4YA_combined_peaks.GFF3
embryo_pharyngeal_muscle_tiling_array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1293	pharyngeal muscle cell	embryo: embryo	2009-12-17	2010-02-13	released	2548	GSE23770, GSM586715, GSM586716, GSM586717	emb-PhM_tars_maxgap30_minrun100_thresh8.36.gff3
mass-spec_091015	Waterston	MacCoss	Mass spec	RNA profiling	Y		1		Caenorhabditis elegans		CB1489, N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, dauer larva, embryo, larva, newly molted young adult hermaphrodite	2010-01-01	2010-09-27	released	2557		mass_spec_091015.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L2_25dC_14hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L3_20dC_25hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L4_20dC_36hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNA-Seq - pathogen Harposporium 25dC 24hr exposure post-adulthood N2 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:Harposporium	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-08	2010-02-04	released	2580	SRX014006	
RNA-Seq - pathogen Harposporium control OP50 25dC 24hr exposure post-adulthood N2 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-10	2010-02-04	released	2581	SRX014007	
RNA-seq - pathogen Smacescens 25dC 24hr exposure post-adulthood N2 sequences & alignment	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:S. marcescens (Db11)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-10	2010-02-04	released	2582	SRX014008	
RNA-seq - soma-only mid-L4 25dC 36hrs post-L1 JK1107 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		JK1107	whole organism	larva: L4 larva	2010-01-10	2010-02-04	released	2583	SRX014010	
RNA-Seq - pathogen Smacescens control OP50 25dC 24hr exposure post-adulthood N2 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-10	2010-02-04	released	2584	SRX014009	
RNA-Seq - pathogen Harposporium 25dC 24hr exposure post-adulthood N2 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:Harposporium	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-14	2010-02-01	released	2587	SRX014006	Adult_Harposporium_exposed_2_24hrs.confirmed_polya.gff3, Adult_Harposporium_exposed_2_24hrs.genelets.RNASEQ.ws170.gff3, Adult_Harposporium_exposed_2_24hrs.confirmed_splice_leaders.gff3, Adult_Harposporium_exposed_2_24hrs.wormbase_transcripts.ws170.gff3, Adult_Harposporium_exposed_2_24hrs.confirmed_introns_all.gff3
RNA-Seq - pathogen Harposporium control OP50 25dC 24hr exposure post-adulthood N2 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-14	2010-02-01	released	2588	SRX014007	Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.wormbase_transcripts.ws170.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.confirmed_introns_all.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.confirmed_polya.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.confirmed_splice_leaders.gff3, Adult_Harposporium_control_EcoliOP50_exposed_2_24hrs.genelets.RNASEQ.ws170.gff3
RNA-seq - pathogen Smacescens 25dC 24hr exposure post-adulthood N2 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:S. marcescens (Db11)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-14	2010-02-02	released	2589	SRX014008	Adult_S_macescens_Db10_exposed_1_24hrs.wormbase_transcripts.ws170.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.genelets.RNASEQ.ws170.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.confirmed_introns_all.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.confirmed_polya.gff3, Adult_S_macescens_Db10_exposed_1_24hrs.confirmed_splice_leaders.gff3
RNA-seq - soma-only mid-L4 25dC 36hrs post-L1 JK1107 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		JK1107	whole organism	larva: L4 larva	2010-01-14	2010-02-02	released	2590	SRX014010	L4_soma_JK1107_no_DNaseI.wormbase_transcripts.ws170.gff3, L4_soma_JK1107_no_DNaseI.confirmed_introns_all.gff3, L4_soma_JK1107_no_DNaseI.confirmed_polya.gff3, L4_soma_JK1107_no_DNaseI.genelets.RNASEQ.ws170.gff3, L4_soma_JK1107_no_DNaseI.confirmed_splice_leaders.gff3
RNA-Seq - pathogen Smacescens control OP50 25dC 24hr exposure post-adulthood N2 genelets	Waterston	Waterston	RNA-seq	RNA profiling			1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-14	2010-02-02	released	2591	SRX014009	Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.genelets.RNASEQ.ws170.gff3, Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.confirmed_introns_all.gff3, Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.confirmed_polya.gff3, Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.confirmed_splice_leaders.gff3, Adult_S_macescens_Db10_control_EcoliOP50_exposed_1_24hrs.wormbase_transcripts.ws170.gff3
Snyder_EOR-1_POLII_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=eor-1;AbName=RNA polymerase II	3		Caenorhabditis elegans		OP81	whole organism	larva: L3 larva	2010-01-20	2010-02-18	replaced	2596 deprecated by 3160		Snyder_EOR-1_POLII_L3_combined_peaks.GFF3
Snyder_HLH-8_POLII_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=hlh-8;AbName=RNA polymerase II	3		Caenorhabditis elegans		OP74	whole organism	larva: L3 larva	2010-01-20	2010-02-17	released	2597		Snyder_HLH-8_POLII_L3_combined_peaks.GFF3
Snyder_PHA4_GFP_lemb	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	embryo: elongating embryo, gastrulating embryo, late cleavage stage embryo	2010-01-20	2010-02-17	released	2598	GSE25798, GSM677655, GSM677656, GSM677657, GSM677658	Snyder_PHA4_GFP_lemb_combined_peaks.GFF3
Snyder_PHA4_GFP_YA	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	3		Caenorhabditis elegans		OP37	whole organism	larva: newly molted young adult hermaphrodite	2010-01-20	2010-02-17	replaced	2599 deprecated by 3161		Snyder_PHA4_GFP_YA_combined_peaks.GFF3
Snyder_MEP-1_GFP_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=mep-1;AbName=eGFP	3		Caenorhabditis elegans		WBGene00003218	whole organism	embryo: embryo	2010-01-20	2010-02-17	released	2600	GSE25800, GSM677659, GSM677660, GSM677661, GSM677662	Snyder_MEP-1_GFP_emb_combined_peaks.GFF3
Snyder_MDL-1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=mdl-1;AbName=eGFP	3		Caenorhabditis elegans		OP106	whole organism	larva: L1 larva	2010-01-20	2010-02-17	released	2601	GSE25801, GSM677663, GSM677664, GSM677665, GSM677666	Snyder_MDL-1_GFP_L1_combined_peaks.GFF3
Histone_H3K36me1_N2_EEMB_(AB9048_H3K36ME1206009_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K36Me1;AbName=H3K36Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-21	2010-02-14	released	2604	GSE22744, GSM562772, GSM562773	
