ID	Project	Lab	Organism	Data Type	Experiment Type	Tissue	Strain	Cell Line	Stage	Antibody	Creation Date	Release Date	GEO IDs	Name
603	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	UBX, No Antibody Control	2009-09-28	2009-10-06		Embryo 3-8h UBX7701 ChIP-chip
604	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	ZFH1, No Antibody Control	2009-09-28	2009-10-08		Embryo 0-12h ZFH1 ChIP-chip
605	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	Invected, No Antibody Control	2009-09-28	2009-10-06		E-0-12h-INV7657
606	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	DLL, No Antibody Control	2009-09-28	2009-10-06		E-0-12h-dll
607	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	C-terminal Binding Protein, No Antibody Control	2009-09-28	2009-10-06		E-0-12h-dCtBP7667
608	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	chinmo, No Antibody Control	2009-09-28	2009-10-15		Embryo 0-12h chinmo ChIP-chip
609	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	Brakeless, No Antibody Control	2009-09-28	2009-10-06		E-0-12h-bks
610	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17	GSBN, No Antibody Control	2009-09-28	2009-10-06		Embryo 7-24h gsbnpurif ChIP-chip
611	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17	ENGRAILED, No Antibody Control	2009-09-28	2009-10-06		Embryo 7-24h end300 ChIP-chip
612	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	UBX, No Antibody Control	2009-09-28	2009-10-06		Embryo 3-8h UBX2 ChIP-chip
613	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	UBX, No Antibody Control	2009-09-28	2009-10-06		Embryo 3-8h UBX1 ChIP-chip
614	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	UBX, No Antibody Control	2009-09-28	2009-10-06		E0-12h-UBX7701
615	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	TRAMTRACK, No Antibody Control	2009-09-28	2009-10-06		E0-12h-TTK
616	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	Stat92E, No Antibody Control	2009-09-28	2009-10-06		E0-12h-Stat92E
617	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	RUNT, No Antibody Control	2009-09-28	2009-10-06		E0-12h-RUN7659
618	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	KNOT, No Antibody Control	2009-09-28	2009-10-06		E0-12h-KN
619	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	INV-GFP		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	inv, inv	2009-09-28	2009-10-06		Embryo 0-12h INV-GFP ChIP-chip
620	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	H3K36me3, No Antibody Control	2009-09-28	2009-10-06		E0-12h-H3K36me3
621	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	H3K9me3, No Antibody Control	2009-09-28	2009-10-06		E0-12h-H3K9me3
622	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	H3K4me3, No Antibody Control	2009-09-28	2009-10-06		E0-12h-H3K4me3
623	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	GRO, No Antibody Control	2009-09-28	2009-10-06		E0-12h-Gro3
624	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	FTZ-F1, No Antibody Control	2009-09-28	2009-10-06		E0-12h-FTZ-F1
625	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	ENGRAILED, No Antibody Control	2009-09-28	2009-10-06		E0-12h-ENserum
626	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	Dichaete, No Antibody Control	2009-09-28	2009-10-06		E0-12h-D
627	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	cap'n collar, No Antibody Control	2009-09-28	2009-10-06		E0-12h-CNC
628	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	bab-1, No Antibody Control	2009-09-28	2009-10-06		E0-12h-bab1
633	Celniker	Graveley	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-17	2009-09-23	GSM390059	Dm Kc167 polyA 002-004 PE RNA-Seq Bowtie
643	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	nejire, No Antibody Control	2009-09-28	2009-10-13		E-20-24h-CBP
650	Celniker	Graveley	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage		2009-09-17	2009-09-23	GSM390063	Dm S2-DRSC polyA 014-016 PE RNA-Seq Bowtie
651	Celniker	Graveley	Drosophila melanogaster	alignments	RNA-seq	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage		2009-09-17	2009-09-23	GSM390065	Dm ML-DmBG3-c2 polyA 122-124 PE RNA-Seq Bowtie
652	Celniker	Graveley	Drosophila melanogaster	alignments	RNA-seq	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage		2009-09-17	2009-09-23	GSM390061	Dm CME_W1_Cl.8+ polyA 060-062 PE RNA-Seq Bowtie
712	Celniker	Brent	Drosophila melanogaster	alignments	RNA-seq	whole organism	y; cn bw sp		adult stage		2009-09-22	2009-09-23	GSM339263	Dm Dm adult whole_fly 057 RNASeq Bowtie
713	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage		2009-09-22	2009-09-23		Dm_ML_BG3-c2_polyApRNA_p200_485-486-487_38bp
715	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage		2009-09-22	2009-09-23		Dm_S2-DRSC_nuclearRNA_p200_482-483-484_38bp
716	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage		2009-09-30	2009-10-02		Dm_Bg3-c2_nuclearRNA_p200_488_489_490_38bp
717	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage		2009-09-22	2009-09-23		Dm_C1.8_polyApRNA_p200_491_492_493_38bp
718	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage		2009-09-22	2009-09-23		Dm_S2-DRSC_polyApRNA_p200_479-480-481_38bp
737	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism, adult head	Canton-S		adult stage		2009-09-17	2009-09-29	GSM240749	Dm Canton-S Adult Female Head smallRNA RNA-Seq
738	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-17	2009-09-29	GSM272653	Kc167 smallRNA RNA-Seq
739	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism, abdomen, thorax	Canton-S		adult stage		2009-09-17	2009-09-29	GSM286602	Dm Canton-S Adult Male Body smallRNA RNA-Seq
740	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage		2009-09-17	2009-09-29	GSM286605	Dm Canton-S Embryo 2-6h smallRNA RNA-Seq
743	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		adult stage		2009-09-17	2009-09-29	GSM286603	Dm Canton-S Adult Female Body smallRNA RNA-Seq
744	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments, cDNA alignments, natural_transposable_element	Computational annotation	N/A	N/A	N/A	N/A	N/A	2009-10-07	2009-10-20		MB7 gene models
745	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage		2009-09-17	2009-09-29	GSM286613	Dm Canton-S Embryo 0-1h smallRNA RNA-Seq (2)
746	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	Oregon-R	S2-DRSC	late embryonic stage		2009-09-17	2009-09-29	GSM272652	S2-DRSC smallRNA RNA-Seq
747	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism, adult head	Canton-S		adult stage		2009-09-17	2009-09-29	GSM286601	Dm Canton-S Adult Male Head smallRNA RNA-Seq
748	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		third instar larval stage		2009-09-28	2009-09-29	GSM322208	Dm Canton-S 3rd Instar Larvae smallRNA RNA-Seq
749	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		third instar larval stage		2009-09-28	2009-09-29	GSM322245	Dm Canton-S 3rd Instar Larvae smallRNA RNA-Seq (2)
750	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism, adult head	Canton-S		adult stage		2009-09-28	2009-09-29	GSM322533	Dm Canton-S Adult Female Head smallRNA RNA-Seq (2)
751	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism, adult head	Canton-S		adult stage		2009-09-28	2009-09-29	GSM322543	Dm Canton-S Adult Male Head smallRNA RNA-Seq (2)
752	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage		2009-09-17	2009-09-29	GSM286606	Dm Canton-S Embryo 2-6h smallRNA RNA-Seq (2)
753	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage 11, embryonic stage 12, embryonic stage 13		2009-09-17	2009-09-29	GSM286611	Dm Canton-S Embryo 6-10h smallRNA RNA-Seq (2)
754	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage 11, embryonic stage 12, embryonic stage 13		2009-09-17	2009-09-29	GSM286607	Dm Canton-S Embryo 6-10h smallRNA RNA-Seq
755	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		embryonic stage		2009-09-17	2009-09-29	GSM286604	Dm Canton-S Embryo 0-1h smallRNA RNA-Seq
757	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		pharate adult stage P10, pharate adult stage P11, pharate adult stage P12, pharate adult stage P13, pharate adult stage P14, pharate adult stage P15, pharate adult stage P8, pharate adult stage P9		2009-09-28	2009-09-29	GSM322219	Dm Canton-S Pupae 2-4d smallRNA RNA-Seq
758	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		pharate adult stage P10, pharate adult stage P11, pharate adult stage P12, pharate adult stage P13, pharate adult stage P14, pharate adult stage P15, pharate adult stage P8, pharate adult stage P9		2009-09-28	2009-09-29	GSM322338	Dm Canton-S Pupae 2-4d smallRNA RNA-Seq (2)
762	Lai	Lai	Drosophila melanogaster	alignments	RNA-seq	whole organism	Canton-S		first instar larval stage		2009-09-28	2009-09-29	GSM360256	Dm Canton-S 1st Instar Larvae smallRNA RNA-Seq
763	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 11, embryonic stage 12, extended germ band stage, late extended germ band stage		2009-09-17	2009-09-23		Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_TotalRNA_p200_230-232_38bp
764	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K9me3, No Antibody Control	2009-10-09	2009-10-15	GSM384723	E4-8_H3K9Me3
765	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		pupal stage	H3K9me3, No Antibody Control	2009-10-09	2009-10-15		Pupae_H3K9Me3
767	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K27me3, No Antibody Control	2009-10-09	2009-10-15	GSM384787	E12-16_H3K27Me3
768	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K27me3, No Antibody Control	2009-10-09	2009-10-15	GSM384778	E4-8_H3K27Me3
769	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	CTCF C-terminus, No Antibody Control	2009-10-15	2009-10-15		E0-12_dCTCF C-term ChIP-chip
770	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	CTCF N-terminus, No Antibody Control	2009-10-15	2009-10-15		E0-12_dCTCF N-term ChIP-chip
771	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me3, No Antibody Control	2009-10-09	2009-10-15		E0-4_H3K4me3 new
772	Lai	Hannon	Drosophila melanogaster	alignments	RNA-seq	whole organism, testis	Oregon-R-modENCODE		adult stage		2009-09-17	2009-09-29	GSM280085	Dm Oregon-R Adult Male Testis smallRNA RNA-Seq
773	Lai	Hannon	Drosophila melanogaster	alignments	RNA-seq	whole organism, ovary	y; cn bw sp		adult stage		2009-09-17	2009-09-29	GSM280082	Dm y[1]; cn[1] bw[1] sp[1] Ovary smallRNA RNA-Seq
774	Lai	Hannon	Drosophila melanogaster	alignments	RNA-seq	whole organism, ovary	w[1118]; PBac{w[+mC]=WH}loqs[f00791]/CyO		adult stage		2009-09-28	2009-09-29	GSM280084	Dm Loqs[f00791] Ovary smallRNA RNA-Seq
777	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me1	2009-09-18	2009-10-14	GSM401409	E0-4_H3K4Me1_chip-seq
778	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K4me1	2009-09-18	2009-10-07	GSM401406	E4-8_H3K4Me1_chip-seq
779	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K4me1	2009-09-18	2009-10-15	GSM432593	E8-12_H3K4Me1_chip-seq
780	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K4me1	2009-09-18	2009-10-12	GSM432591	E12-16_H3K4Me1_chip-seq
781	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1	2009-09-18	2009-10-12	GSM401403	E16-20_H3K4Me1_chip-seq
782	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1	2009-09-18	2009-10-14	GSM439464	E20-24_H3K4Me1_chip-seq
783	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K4me1	2009-09-18	2009-10-12	GSM432588	L1_H3K4Me1_chip-seq
784	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K4me1	2009-09-18	2009-10-12	GSM401421	L2_H3K4Me1_chip-seq
785	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	H3K4me1	2009-09-18	2009-10-12	GSM401418	L3_H3K4Me1_chip-seq
786	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K4me1	2009-09-18	2009-10-12	GSM401415	Pupae_H3K4Me1_chip-seq
787	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K4me1	2009-09-18	2009-10-13	GSM439465	AdultFemale_H3K4Me1_chip-seq
788	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K4me1	2009-09-18	2009-10-07	GSM401411	AdultMale_H3K4Me1_chip-seq
789	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me3	2009-09-18	2009-10-07	GSM400656	E0-4_H3K4Me3_chip-seq
790	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K4me3	2009-09-18	2009-10-13	GSM400674	E4-8_H3K4Me3_chip-seq
791	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K4me3	2009-09-18	2009-10-15	GSM432585	E8-12_H3K4Me3_chip-seq
792	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K4me3	2009-09-18	2009-10-13	GSM432580	E12-16_H3K4Me3_chip-seq
793	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K4me3	2009-09-18	2009-10-13	GSM400658	E16-20_H3K4Me3_chip-seq
794	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K4me3	2009-09-18	2009-10-13	GSM400672	E20-24_H3K4Me3_chip-seq
795	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K4me3	2009-09-18	2009-10-13	GSM400662	L1_H3K4Me3_chip-seq
796	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K4me3	2009-09-18	2009-10-13	GSM400668	L2_H3K4Me3_chip-seq
797	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	H3K4me3	2009-09-18	2009-10-13	GSM400660	L3_H3K4Me3_chip-seq
798	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K4me3	2009-09-18	2009-10-13	GSM400664	Pupae_H3K4Me3_chip-seq
799	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K4me3	2009-09-18	2009-10-07	GSM400670	AdultFemale_H3K4Me3_chip-seq
800	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K4me3	2009-09-18	2009-10-07	GSM400666	AdultMale_H3K4Me3_chip-seq
801	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9me3	2009-09-18	2009-10-13	GSM439457	E0-4_H3K9Me3_chip-seq
802	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K9me3	2009-09-18	2009-10-13	GSM439456	E4-8_H3K9Me3_chip-seq
803	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K9me3	2009-09-18	2009-10-15	GSM439455	E8-12_H3K9Me3_chip-seq
804	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9me3	2009-09-18	2009-10-13	GSM439454	E12-16_H3K9Me3_chip-seq
805	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K9me3	2009-09-18	2009-10-13	GSM439453	E16-20_H3K9Me3_chip-seq
806	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K9me3	2009-09-18	2009-10-13	GSM439452	E20-24_H3K9Me3_chip-seq
807	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K9me3	2009-09-18	2009-10-13	GSM439451	L1_H3K9Me3_chip-seq
808	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K9me3	2009-09-18	2009-10-13	GSM439450	L2_H3K9Me3_chip-seq
809	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K9me3	2009-09-18	2009-10-13	GSM439449	Pupae_H3K9Me3_chip-seq
810	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27me3	2009-09-18	2009-10-14	GSM439448	E0-4_H3K27Me3_chip-seq
811	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K27me3	2009-09-18	2009-10-13	GSM439447	E4-8_H3K27Me3_chip-seq
812	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K27me3	2009-09-18	2009-10-15	GSM439446	E8-12_H3K27Me3_chip-seq
813	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K27me3	2009-09-18	2009-10-14	GSM439445	E12-16_H3K27Me3_chip-seq
814	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K27me3	2009-09-18	2009-10-13	GSM439444	E16-20_H3K27Me3_chip-seq
815	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K27me3	2009-09-18	2009-10-14	GSM439443	E20-24_H3K27Me3_chip-seq
816	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K27me3	2009-09-18	2009-10-13	GSM439442	L1_H3K27Me3_chip-seq
817	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K27me3	2009-09-18	2009-10-15	GSM439441	L2_H3K27Me3_chip-seq
818	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	H3K27me3	2009-09-18	2009-10-13	GSM439440	L3_H3K27Me3_chip-seq
819	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K27me3	2009-09-18	2009-10-13	GSM439439	Pupae_H3K27Me3_chip-seq
820	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K27me3	2009-09-18	2009-10-08	GSM439438	AdultMale_H3K27Me3_chip-seq
821	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9Ac	2009-09-18	2009-10-08	GSM401408	E0-4_H3K9Ac_chip-seq
822	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K9Ac	2009-09-18	2009-10-13	GSM401405	E4-8_H3K9Ac_chip-seq
823	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K9Ac	2009-09-18	2009-10-15	GSM432592	E8-12_H3K9Ac_chip-seq
